Ticker,Strategy,Total Return [%],Max Drawdown [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio
SPY,Trend,35.05300034438937,13.251547891723892,0.6818304095470957,1.031476740931091,0.3951482977430027
SPY,High_Vol,4.640871267189141,13.058115655000904,0.18390925321756302,0.26527628301135586,0.08633364277730507
SPY,Low_Vol,13.094806413761908,9.641562935018905,0.4923282986830113,0.7074964426422606,0.3202498045506567
SPY,Benchmark,89.520158840978,24.4963856826828,1.0261051969499912,1.49009047311059,0.8612723247160559
TBT,Trend,58.63446658117834,18.577347929382835,0.5773942870512764,1.0453730172990723,0.43884422127892475
TBT,High_Vol,-5.804295339658565,16.81928510875419,-0.08028239996051273,-0.1202827471688211,-0.08721060336821491
TBT,Low_Vol,112.02609115725788,19.819173719160215,1.0254014620020986,1.5809402367826866,1.0297492913654902
TBT,Benchmark,78.9255396830924,33.8307700786303,0.6620219183760188,0.9612362886961444,0.5877211465932682
YCS,Trend,24.839052102457572,14.466001707055561,0.39015619109143834,0.5300226988762277,0.26545170174286353
YCS,High_Vol,1.9188368585739044,11.810324811609703,0.10570975894112451,0.15717967294116966,0.03986347400087543
YCS,Low_Vol,49.195237041626534,13.287234104170656,0.8468910468615651,1.2674865318116073,0.7821263875008708
YCS,Benchmark,178.09092042631252,27.311584722689613,1.2688813347702288,1.7790656953390154,1.1823753674676012
EUO,Trend,-11.959348644013627,21.92639588744514,-0.3004714041258653,-0.3862244247535931,-0.09760506585600101
EUO,High_Vol,-9.951821154758546,15.57133023673736,-0.3325469468207912,-0.4197893707796767,-0.16422525118737022
EUO,Low_Vol,21.94142950117466,15.010812355556638,0.51589485568324,0.768835978453438,0.33471413513475734
EUO,Benchmark,19.875001907348633,24.593780982594957,0.3592368629388072,0.5046107836438262,0.20708236896092763
GLD,Trend,19.429409962895207,20.304364845823113,0.4133895733916168,0.6531385771160136,0.1507876159250019
GLD,High_Vol,10.900918485603889,9.637121645344141,0.4184409394991061,0.6839166601312237,0.26873913747286715
GLD,Low_Vol,-13.341585049487986,22.635840401188766,-0.37846869631283603,-0.4900143900516288,-0.1535979046729753
GLD,Benchmark,104.35940042423033,21.032844203783363,1.1621136726368098,1.680455401300829,1.0574340843443255
SLV,Trend,-17.332917803455096,35.370840281625654,-0.1883260825664245,-0.24493307208566364,-0.0899413753217407
SLV,High_Vol,-0.9724202523852729,17.67805387182,0.036559226438720935,0.0543491058773813,-0.01364356401184007
SLV,Low_Vol,-0.27427792425170994,35.84525231468249,0.1072670054995548,0.15535230802416494,-0.0018928686277851269
SLV,Benchmark,96.32635362683854,38.78924132785391,0.7323287464739601,1.0774549795396817,0.5459082567267342
CPER,Trend,-21.06713537584046,33.95413821748037,-0.18050987146499295,-0.2173451303701216,-0.1159930681324714
CPER,High_Vol,25.621280637861567,13.183254691538714,0.6113129016725612,1.0212190361009328,0.4398612601914584
CPER,Low_Vol,16.35497588423763,30.374788114070743,0.32900020112669887,0.48748373207537204,0.12557270458123185
CPER,Benchmark,78.97142682756697,34.74916228162532,0.6709785704708129,0.9295163203822662,0.5017015531698787
USO,Trend,0.18253728459349078,19.924419042349133,0.06605607670413745,0.10702725500650082,0.001554868113274033
USO,High_Vol,52.66674928479457,14.058077774435763,0.8026628843782819,1.2048678821512504,0.7840032469971323
USO,Low_Vol,-1.1311412912326342,45.81147789469425,0.10269461044750752,0.13973748575143136,-0.006127911883787519
USO,Benchmark,146.13792156351025,36.23219783711346,0.8581412193433821,1.1945118372441266,0.827302447678605
URA,Trend,-19.024138588602,42.40803101909867,-0.1031429026487164,-0.14618093531594714,-0.08301767698910094
URA,High_Vol,32.32417806879692,15.525753074031831,0.5442159513340136,0.859408057526087,0.46159972280882144
URA,Low_Vol,66.81067916474844,28.240896327289228,0.6073315242250695,0.9433627535617466,0.4772960217469861
URA,Benchmark,384.2715839050657,37.90286129367825,1.142210998939315,1.7451790884334613,1.5001309466499484
LIT,Trend,46.50198283320529,18.28987317916588,0.5703367388606995,0.9892964481592998,0.3663700717687147
LIT,High_Vol,10.94867012160832,26.509163949179726,0.2279692830870343,0.3560626163981673,0.09810894665199288
LIT,Low_Vol,-38.15831676311073,53.806133320658546,-0.624854790380776,-0.8342769015834351,-0.20812454214817613
LIT,Benchmark,11.828083514563405,65.91282896423105,0.2810295086877838,0.4138180633005387,0.0510901128384967
DBA,Trend,13.258887049395998,12.882889909556317,0.2815361841980536,0.4000167043440155,0.1658951491491138
DBA,High_Vol,17.326327631473994,4.747368400967114,0.7776133800684455,1.2439871137249257,0.8484164860266385
DBA,Low_Vol,22.71952494183206,6.553667018640865,0.7240668738056961,1.0784655292090155,0.7918534343510889
DBA,Benchmark,80.95540220773765,15.940763091710549,1.0971174055563762,1.5902376280550428,1.2093174431926337
EWJ,Trend,-9.135253862163045,19.730720355179074,-0.1482509240044051,-0.18665192565081956,-0.08179786331761725
EWJ,High_Vol,9.174518003152917,12.20631112306903,0.36196846019379697,0.539694417738929,0.17965113385363132
EWJ,Low_Vol,-12.804099792658016,20.32093699396025,-0.32503694688986945,-0.4428435396261792,-0.16383186438529457
EWJ,Benchmark,38.71419437771226,33.144058804747004,0.5633036932714548,0.8112740490903142,0.30716590436585606
MCHI,Trend,-0.7166991439809681,19.144549186420036,0.04337890140438908,0.06078776836337316,-0.006377403490055375
MCHI,High_Vol,-2.288919546090983,25.644715036092535,0.07483837657436547,0.1221648717256556,-0.022249561027418503
MCHI,Low_Vol,-38.83869314658589,57.24749325274251,-0.5546075941081625,-0.788208852510208,-0.1998483801774026
